LAST SEEN   TYPE      REASON                  OBJECT                                  MESSAGE
21m         Normal    Scheduled               pod/postgres-0                          Successfully assigned dso202-practical-02/postgres-0 to worker-node-1
46m         Normal    Scheduled               pod/webnote-0                           Successfully assigned dso202-practical-02/webnote-0 to worker-node-2
50m         Normal    Scheduled               pod/webnote-1                           Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
46m         Normal    Scheduled               pod/webnote-1                           Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
25m         Normal    Scheduled               pod/postgres-0                          Successfully assigned dso202-practical-02/postgres-0 to worker-node-1
50m         Normal    Scheduled               pod/webnote-0                           Successfully assigned dso202-practical-02/webnote-0 to worker-node-2
46m         Normal    Scheduled               pod/webnote-2                           Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
54m         Normal    Scheduled               pod/webnote-2                           Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
54m         Normal    Killing                 pod/webnote-2                           Stopping container nginx
54m         Warning   Unhealthy               pod/webnote-2                           Readiness probe failed: Get "http://10.244.1.5:80/": dial tcp 10.244.1.5:80: connect: connection refused
54m         Normal    SuccessfulDelete        statefulset/webnote                     Delete Pod webnote-2 in StatefulSet webnote successful
54m         Normal    SuccessfulCreate        statefulset/webnote                     Create Pod webnote-2 in StatefulSet webnote successful
54m         Normal    Created                 pod/webnote-2                           Container created
54m         Normal    Pulled                  pod/webnote-2                           Container image "busybox:1.37" already present on machine and can be accessed by the pod
54m         Normal    Started                 pod/webnote-2                           Container started
54m         Normal    Pulling                 pod/webnote-2                           Pulling image "nginx:1.31-alpine"
54m         Normal    Created                 pod/webnote-2                           Container created
54m         Normal    Started                 pod/webnote-2                           Container started
54m         Normal    Pulled                  pod/webnote-2                           Successfully pulled image "nginx:1.31-alpine" in 17.457s (17.457s including waiting). Image size: 28791510 bytes.
50m         Normal    Killing                 pod/webnote-1                           Stopping container nginx
50m         Normal    SuccessfulDelete        statefulset/webnote                     Delete Pod webnote-1 in StatefulSet webnote successful
50m         Normal    SuccessfulCreate        statefulset/webnote                     Create Pod webnote-1 in StatefulSet webnote successful
50m         Normal    Created                 pod/webnote-1                           Container created
50m         Normal    Pulled                  pod/webnote-1                           Container image "busybox:1.37" already present on machine and can be accessed by the pod
50m         Normal    Pulling                 pod/webnote-1                           Pulling image "nginx:1.31-alpine"
50m         Normal    Started                 pod/webnote-1                           Container started
50m         Normal    Pulled                  pod/webnote-1                           Successfully pulled image "nginx:1.31-alpine" in 10.053s (10.053s including waiting). Image size: 28791510 bytes.
50m         Normal    Created                 pod/webnote-1                           Container created
50m         Normal    Started                 pod/webnote-1                           Container started
